X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
6.817087	0.781413	0.199914	6.864637	6.539027	88.331178	-26.562616	-26.045214	-18.500469
6.089963	0.493996	-0.057475	6.110236	4.637471	90.538948	-27.137161	-26.060429	-18.499744
5.523708	0.515445	-0.269820	5.554263	5.331116	92.784466	-27.571947	-26.183416	-18.499708
3.833521	0.459677	-0.475731	3.890181	6.837683	97.024302	-28.228529	-26.451143	-18.499340
3.398105	0.028551	0.165596	3.402257	0.481385	87.210180	-29.119429	-26.909773	-18.499458
2.149769	0.418924	-0.153995	2.195614	11.026989	94.021900	-29.125235	-26.926037	-18.498489
1.369023	0.487561	0.086234	1.455808	19.602736	86.604121	-29.930655	-27.435406	-18.498907
0.086369	0.052145	0.232088	0.253068	31.121301	23.494698	-31.289967	-28.275215	-18.499308
-1.009679	-0.087274	-0.016721	1.013582	-175.059768	90.945270	-33.031376	-29.507015	-18.500071
-1.723933	-0.286751	0.043336	1.748156	-170.556161	88.579517	-34.356316	-30.642191	-18.500315
-3.695102	-0.499096	0.341478	3.744260	-172.307630	84.767331	-37.359032	-33.437260	-18.500362
-4.482283	-0.499096	-0.001707	4.509985	-173.646362	90.021687	-38.683849	-34.758282	-18.500160
-5.546157	-0.572023	-0.123967	5.576956	-174.111411	91.273698	-40.826096	-37.124737	-18.500372
-6.487771	-0.254577	0.270696	6.498404	-177.752894	87.612609	-41.826916	-38.065697	-18.500334
-7.341444	-0.544139	0.163451	7.363396	-175.761053	88.728058	-42.053730	-38.395523	-18.499941
-8.017090	-1.187611	0.150581	8.105974	-171.573769	88.935579	-32.386597	-29.904697	-18.502420
-9.132441	-1.035323	0.264261	9.194738	-173.532129	88.353064	-31.595984	-29.474005	-18.505207
-10.067621	-0.803673	0.210639	10.101844	-175.435899	88.805210	-30.844225	-29.024754	-18.505920
-11.399608	-0.968831	0.056205	11.440841	-175.142214	89.718522	-30.287556	-28.737499	-18.506824
-12.881738	-1.642332	-0.252661	12.988467	-172.734385	91.114630	-29.328802	-28.205343	-18.506145
-13.435124	-1.140424	0.152726	13.484304	-175.148151	89.351041	-29.201836	-28.111877	-18.505692
-14.271638	-1.522217	0.172030	14.353620	-173.911833	89.313285	-28.823204	-27.878948	-18.505211
-15.361251	-1.485754	-0.171155	15.433884	-174.475487	90.635397	-28.337622	-27.577625	-18.504902
-16.442284	-1.743142	-0.209763	16.535757	-173.948345	90.726840	-27.978422	-27.335423	-18.503851
-17.135089	-1.880416	-0.091793	17.238204	-173.737382	90.305100	-27.850903	-27.251455	-18.503902
